no_id,office_id,member_id,managed_entity_id,water_date,water_usage
1,OFF001,user001,ME001,2023-06-01,342
2,OFF001,user002,ME001,2023-06-01,228
3,OFF001,user001,ME001,2023-06-01,257
4,OFF001,user002,ME001,2023-06-01,151
5,OFF001,user001,ME001,2023-06-01,163
6,OFF001,user002,ME001,2023-06-01,398
7,OFF001,user001,ME001,2023-06-01,333
8,OFF001,user002,ME001,2023-06-01,208
9,OFF001,user001,ME001,2023-06-02,240
10,OFF001,user002,ME001,2023-06-02,353
11,OFF001,user001,ME001,2023-06-02,294
12,OFF001,user002,ME001,2023-06-02,204
13,OFF001,user001,ME001,2023-06-02,29
14,OFF001,user002,ME001,2023-06-02,336
15,OFF001,user001,ME001,2023-06-02,224
16,OFF001,user002,ME001,2023-06-02,292
17,OFF001,user001,ME001,2023-06-03,107
18,OFF001,user002,ME001,2023-06-03,57
19,OFF001,user001,ME001,2023-06-03,89
20,OFF001,user002,ME001,2023-06-03,319
21,OFF001,user001,ME001,2023-06-03,328
22,OFF001,user002,ME001,2023-06-03,129
23,OFF001,user001,ME001,2023-06-03,352
24,OFF001,user002,ME001,2023-06-03,429
25,OFF001,user001,ME001,2023-06-04,203
26,OFF001,user002,ME001,2023-06-04,376
27,OFF001,user001,ME001,2023-06-04,209
28,OFF001,user002,ME001,2023-06-04,311
29,OFF001,user001,ME001,2023-06-04,449
30,OFF001,user002,ME001,2023-06-04,308
31,OFF001,user001,ME001,2023-06-04,371
32,OFF001,user002,ME001,2023-06-04,322
33,OFF001,user001,ME001,2023-06-05,391
34,OFF001,user002,ME001,2023-06-05,376
35,OFF001,user001,ME001,2023-06-05,357
36,OFF001,user002,ME001,2023-06-05,132
37,OFF001,user001,ME001,2023-06-05,324
38,OFF001,user002,ME001,2023-06-05,297
39,OFF001,user001,ME001,2023-06-05,208
40,OFF001,user002,ME001,2023-06-05,373
41,OFF001,user001,ME001,2023-06-06,265
42,OFF001,user002,ME001,2023-06-06,57
43,OFF001,user001,ME001,2023-06-06,368
44,OFF001,user002,ME001,2023-06-06,272
45,OFF001,user001,ME001,2023-06-06,39
46,OFF001,user002,ME001,2023-06-06,139
47,OFF001,user001,ME001,2023-06-06,127
48,OFF001,user002,ME001,2023-06-06,276
49,OFF001,user001,ME001,2023-06-07,231
50,OFF001,user002,ME001,2023-06-07,349
51,OFF001,user001,ME001,2023-06-07,399
52,OFF001,user002,ME001,2023-06-07,325
53,OFF001,user001,ME001,2023-06-07,232
54,OFF001,user002,ME001,2023-06-07,91
55,OFF001,user001,ME001,2023-06-07,102
56,OFF001,user002,ME001,2023-06-07,91
57,OFF001,user001,ME001,2023-06-08,49
58,OFF001,user002,ME001,2023-06-08,386
59,OFF001,user001,ME001,2023-06-08,143
60,OFF001,user002,ME001,2023-06-08,356
61,OFF001,user001,ME001,2023-06-08,212
62,OFF001,user002,ME001,2023-06-08,342
63,OFF001,user001,ME001,2023-06-08,172
64,OFF001,user002,ME001,2023-06-08,29
65,OFF001,user001,ME001,2023-06-09,7
66,OFF001,user002,ME001,2023-06-09,155
67,OFF001,user001,ME001,2023-06-09,350
68,OFF001,user002,ME001,2023-06-09,267
69,OFF001,user001,ME001,2023-06-09,417
70,OFF001,user002,ME001,2023-06-09,345
71,OFF001,user001,ME001,2023-06-09,303
72,OFF001,user002,ME001,2023-06-09,246
73,OFF001,user001,ME001,2023-06-10,427
74,OFF001,user002,ME001,2023-06-10,407
75,OFF001,user001,ME001,2023-06-10,114
76,OFF001,user002,ME001,2023-06-10,215
77,OFF001,user001,ME001,2023-06-10,431
78,OFF001,user002,ME001,2023-06-10,307
79,OFF001,user001,ME001,2023-06-10,291
80,OFF001,user002,ME001,2023-06-10,280
81,OFF001,user001,ME001,2023-06-11,287
82,OFF001,user002,ME001,2023-06-11,126
83,OFF001,user001,ME001,2023-06-11,124
84,OFF001,user002,ME001,2023-06-11,405
85,OFF001,user001,ME001,2023-06-11,157
86,OFF001,user002,ME001,2023-06-11,446
87,OFF001,user001,ME001,2023-06-11,233
88,OFF001,user002,ME001,2023-06-11,307
89,OFF001,user001,ME001,2023-06-12,375
90,OFF001,user002,ME001,2023-06-12,236
91,OFF001,user001,ME001,2023-06-12,433
92,OFF001,user002,ME001,2023-06-12,247
93,OFF001,user001,ME001,2023-06-12,257
94,OFF001,user002,ME001,2023-06-12,172
95,OFF001,user001,ME001,2023-06-12,71
96,OFF001,user002,ME001,2023-06-12,113
97,OFF001,user001,ME001,2023-06-13,75
98,OFF001,user002,ME001,2023-06-13,289
99,OFF001,user001,ME001,2023-06-13,16
100,OFF001,user002,ME001,2023-06-13,79
101,OFF001,user001,ME001,2023-06-13,70
102,OFF001,user002,ME001,2023-06-13,255
103,OFF001,user001,ME001,2023-06-13,243
104,OFF001,user002,ME001,2023-06-13,356
105,OFF001,user001,ME001,2023-06-14,78
106,OFF001,user002,ME001,2023-06-14,339
107,OFF001,user001,ME001,2023-06-14,424
108,OFF001,user002,ME001,2023-06-14,59
109,OFF001,user001,ME001,2023-06-14,320
110,OFF001,user002,ME001,2023-06-14,302
111,OFF001,user001,ME001,2023-06-14,183
112,OFF001,user002,ME001,2023-06-14,65
113,OFF001,user001,ME001,2023-06-15,257
114,OFF001,user002,ME001,2023-06-15,75
115,OFF001,user001,ME001,2023-06-15,253
116,OFF001,user002,ME001,2023-06-15,215
117,OFF001,user001,ME001,2023-06-15,210
118,OFF001,user002,ME001,2023-06-15,175
119,OFF001,user001,ME001,2023-06-15,413
120,OFF001,user002,ME001,2023-06-15,160
121,OFF001,user001,ME001,2023-06-16,96
122,OFF001,user002,ME001,2023-06-16,366
123,OFF001,user001,ME001,2023-06-16,286
124,OFF001,user002,ME001,2023-06-16,265
125,OFF001,user001,ME001,2023-06-16,180
126,OFF001,user002,ME001,2023-06-16,316
127,OFF001,user001,ME001,2023-06-16,126
128,OFF001,user002,ME001,2023-06-16,350
129,OFF001,user001,ME001,2023-06-17,208
130,OFF001,user002,ME001,2023-06-17,220
131,OFF001,user001,ME001,2023-06-17,146
132,OFF001,user002,ME001,2023-06-17,406
133,OFF001,user001,ME001,2023-06-17,106
134,OFF001,user002,ME001,2023-06-17,84
135,OFF001,user001,ME001,2023-06-17,172
136,OFF001,user002,ME001,2023-06-17,256
137,OFF001,user001,ME001,2023-06-18,149
138,OFF001,user002,ME001,2023-06-18,417
139,OFF001,user001,ME001,2023-06-18,199
140,OFF001,user002,ME001,2023-06-18,307
141,OFF001,user001,ME001,2023-06-18,28
142,OFF001,user002,ME001,2023-06-18,256
143,OFF001,user001,ME001,2023-06-18,139
144,OFF001,user002,ME001,2023-06-18,298
145,OFF001,user001,ME001,2023-06-19,161
146,OFF001,user002,ME001,2023-06-19,306
147,OFF001,user001,ME001,2023-06-19,311
148,OFF001,user002,ME001,2023-06-19,342
149,OFF001,user001,ME001,2023-06-19,129
150,OFF001,user002,ME001,2023-06-19,262
151,OFF001,user001,ME001,2023-06-19,241
152,OFF001,user002,ME001,2023-06-19,172
153,OFF001,user001,ME001,2023-06-20,387
154,OFF001,user002,ME001,2023-06-20,81
155,OFF001,user001,ME001,2023-06-20,429
156,OFF001,user002,ME001,2023-06-20,203
157,OFF001,user001,ME001,2023-06-20,84
158,OFF001,user002,ME001,2023-06-20,143
159,OFF001,user001,ME001,2023-06-20,74
160,OFF001,user002,ME001,2023-06-20,72
161,OFF001,user001,ME001,2023-06-21,208
162,OFF001,user002,ME001,2023-06-21,176
163,OFF001,user001,ME001,2023-06-21,277
164,OFF001,user002,ME001,2023-06-21,258
165,OFF001,user001,ME001,2023-06-21,178
166,OFF001,user002,ME001,2023-06-21,55
167,OFF001,user001,ME001,2023-06-21,386
168,OFF001,user002,ME001,2023-06-21,84
169,OFF001,user001,ME001,2023-06-22,259
170,OFF001,user002,ME001,2023-06-22,267
171,OFF001,user001,ME001,2023-06-22,54
172,OFF001,user002,ME001,2023-06-22,186
173,OFF001,user001,ME001,2023-06-22,384
174,OFF001,user002,ME001,2023-06-22,437
175,OFF001,user001,ME001,2023-06-22,291
176,OFF001,user002,ME001,2023-06-22,155
177,OFF001,user001,ME001,2023-06-23,276
178,OFF001,user002,ME001,2023-06-23,235
179,OFF001,user001,ME001,2023-06-23,133
180,OFF001,user002,ME001,2023-06-23,364
181,OFF001,user001,ME001,2023-06-23,423
182,OFF001,user002,ME001,2023-06-23,209
183,OFF001,user001,ME001,2023-06-23,384
184,OFF001,user002,ME001,2023-06-23,242
185,OFF001,user001,ME001,2023-06-24,132
186,OFF001,user002,ME001,2023-06-24,392
187,OFF001,user001,ME001,2023-06-24,27
188,OFF001,user002,ME001,2023-06-24,443
189,OFF001,user001,ME001,2023-06-24,214
190,OFF001,user002,ME001,2023-06-24,243
191,OFF001,user001,ME001,2023-06-24,221
192,OFF001,user002,ME001,2023-06-24,178
193,OFF001,user001,ME001,2023-06-25,437
194,OFF001,user002,ME001,2023-06-25,325
195,OFF001,user001,ME001,2023-06-25,113
196,OFF001,user002,ME001,2023-06-25,170
197,OFF001,user001,ME001,2023-06-25,158
198,OFF001,user002,ME001,2023-06-25,333
199,OFF001,user001,ME001,2023-06-25,194
200,OFF001,user002,ME001,2023-06-25,44
201,OFF001,user001,ME001,2023-06-26,32
202,OFF001,user002,ME001,2023-06-26,50
203,OFF001,user001,ME001,2023-06-26,237
204,OFF001,user002,ME001,2023-06-26,54
205,OFF001,user001,ME001,2023-06-26,317
206,OFF001,user002,ME001,2023-06-26,16
207,OFF001,user001,ME001,2023-06-26,191
208,OFF001,user002,ME001,2023-06-26,300
209,OFF001,user001,ME001,2023-06-27,383
210,OFF001,user002,ME001,2023-06-27,40
211,OFF001,user001,ME001,2023-06-27,295
212,OFF001,user002,ME001,2023-06-27,448
213,OFF001,user001,ME001,2023-06-27,204
214,OFF001,user002,ME001,2023-06-27,117
215,OFF001,user001,ME001,2023-06-27,262
216,OFF001,user002,ME001,2023-06-27,418
217,OFF001,user001,ME001,2023-06-28,79
218,OFF001,user002,ME001,2023-06-28,63
219,OFF001,user001,ME001,2023-06-28,438
220,OFF001,user002,ME001,2023-06-28,374
221,OFF001,user001,ME001,2023-06-28,244
222,OFF001,user002,ME001,2023-06-28,341
223,OFF001,user001,ME001,2023-06-28,7
224,OFF001,user002,ME001,2023-06-28,40
225,OFF001,user001,ME001,2023-06-29,109
226,OFF001,user002,ME001,2023-06-29,291
227,OFF001,user001,ME001,2023-06-29,226
228,OFF001,user002,ME001,2023-06-29,6
229,OFF001,user001,ME001,2023-06-29,44
230,OFF001,user002,ME001,2023-06-29,323
231,OFF001,user001,ME001,2023-06-29,256
232,OFF001,user002,ME001,2023-06-29,193
233,OFF001,user001,ME001,2023-06-30,407
234,OFF001,user002,ME001,2023-06-30,123
235,OFF001,user001,ME001,2023-06-30,311
236,OFF001,user002,ME001,2023-06-30,417
237,OFF001,user001,ME001,2023-06-30,163
238,OFF001,user002,ME001,2023-06-30,282
239,OFF001,user001,ME001,2023-06-30,272
240,OFF001,user002,ME001,2023-06-30,153
